id,source,target,score,accession,platformType,platform,pathway,cells,treatment,dose,effect,hours,sign,targets,level,mean_ligand_score
IL1B@Condition:HPAECs_BET762&Duration:48h@GSE125508.MicroArray.Clariom_S_Human,IL1B,IL1B,1.5540842163658026,GSE125508,MicroArray,Clariom_S_Human,NA,HPAECs,IL1B,NA,activating,48h,1,IL1B,3,1.5633490639920802
IL1B@Condition:HPAECs_control&Duration:48h@GSE125508.MicroArray.Clariom_S_Human,IL1B,IL1B,1.7938382199847231,GSE125508,MicroArray,Clariom_S_Human,NA,HPAECs,IL1B,NA,activating,48h,1,IL1B,3,1.5633490639920802
IL1B@Condition:hTERT-HMA/B Human Myometrial Cell Line@GSE134896.RNASeq.SRP216421_GRCh38,IL1B,IL1B,1.3038763715099093,GSE134896,RNASeq,SRP216421_GRCh38,NA,hTERT-HMA/B Human Myometrial Cell Line,IL1B,NA,activating,NA,1,IL1B,3,1.5633490639920802
IL1B@Condition:Human Lung Fibroblasts&Duration:0.5h@GSE60880.MicroArray.HG-U133A_2,IL1B,IL1B,1.5288781124424682,GSE60880,MicroArray,HG-U133A_2,NA,Human Lung Fibroblasts,IL1B,NA,activating,0.5h,1,IL1B,3,1.5633490639920802
IL1B@Condition:Human Lung Fibroblasts&Duration:1.0h@GSE60880.MicroArray.HG-U133A_2,IL1B,IL1B,2.1480486286148053,GSE60880,MicroArray,HG-U133A_2,NA,Human Lung Fibroblasts,IL1B,NA,activating,1.0h,1,IL1B,3,1.5633490639920802
IL1B@Condition:Human Lung Fibroblasts&Duration:2.0h@GSE60880.MicroArray.HG-U133A_2,IL1B,IL1B,1.9607883736167702,GSE60880,MicroArray,HG-U133A_2,NA,Human Lung Fibroblasts,IL1B,NA,activating,2.0h,1,IL1B,3,1.5633490639920802
IL1B@Condition:Human Lung Fibroblasts&Duration:8.0h@GSE60880.MicroArray.HG-U133A_2,IL1B,IL1B,1.9576185456826287,GSE60880,MicroArray,HG-U133A_2,NA,Human Lung Fibroblasts,IL1B,NA,activating,8.0h,1,IL1B,3,1.5633490639920802
IL1B@Condition:Human_Epithelial_A549@GSE101868.RNASeq.SRP113550_GRCh38,IL1B,IL1B,1.8773160025916829,GSE101868,RNASeq,SRP113550_GRCh38,NA,Human,IL1B,NA,activating,NA,1,IL1B,3,1.5633490639920802
IL1B@Condition:Macrophage&Duration:24 h@GSE85346.MicroArray.GPL13497,IL1B,IL1B,2.362943938482535,GSE85346,MicroArray,GPL13497,NA,Macrophage,IL1B,NA,activating,24 h,1,IL1B,3,1.5633490639920802
IL1B@Condition:NHEK@GSE7216.MicroArray.HG-U133_Plus_2,IL1B,IL1B,1.4316287187395556,GSE7216,MicroArray,HG-U133_Plus_2,NA,NHEK,IL1B,NA,activating,NA,1,IL1B,3,1.5633490639920802
IL1B@Condition:nontransformed primary fetal intestinal epithelial cell line@GSE62208.MicroArray.HuGene-2_0-st,IL1B,IL1B,0.5635630080572999,GSE62208,MicroArray,HuGene-2_0-st,NA,nontransformed primary fetal intestinal epithelial cell line,IL1B,NA,activating,NA,1,IL1B,3,1.5633490639920802
IL1B@Condition:OE-E6/E7@GSE54608.MicroArray.GPL10558,IL1B,IL1B,-0.3118419046357383,GSE54608,MicroArray,GPL10558,NA,OE-E6/E7,IL1B,NA,activating,NA,1,IL1B,3,1.5633490639920802
IL1B@Condition:Smooth muscle cells@GSE96962.RNASeq.SRP102361_GRCh38,IL1B,IL1B,1.9774118180114928,GSE96962,RNASeq,SRP102361_GRCh38,NA,Smooth muscle cells,IL1B,NA,activating,NA,1,IL1B,3,1.5633490639920802
IL1B@Condition:vascular endothelial cells@GSE115311.RNASeq.SRP149723_GRCh38,IL1B,IL1B,1.5172228388168358,GSE115311,RNASeq,SRP149723_GRCh38,NA,vascular endothelial cells,IL1B,NA,activating,NA,1,IL1B,3,1.5633490639920802
IL1B@Condition:Whole Blood.healthy adult&Duration:6h@GSE103500.MicroArray.GPL10558,IL1B,IL1B,1.4761193373166122,GSE103500,MicroArray,GPL10558,NA,Whole Blood.healthy adult,IL1B,NA,activating,6h,1,IL1B,3,1.5633490639920802
IL1B@Condition:Whole Blood&Duration:2h@GSE25742.MicroArray.GPL10558,IL1B,IL1B,1.3049133506910984,GSE25742,MicroArray,GPL10558,NA,Whole Blood,IL1B,NA,activating,2h,1,IL1B,3,1.5633490639920802
WNT3A@Condition:CCD-18Co colon fibroblasts@GSE89124.RNASeq.SRP092000_GRCh38,WNT3A,WNT3A,NA,GSE89124,RNASeq,SRP092000_GRCh38,NA,CCD-18Co colon fibroblasts,WNT3A,NA,activating,NA,1,WNT3A,NA,1.4592149908597154
WNT3A@Condition:CCD-18Co human normal colon myofibroblasts@GSE120106.RNASeq.SRP162014_GRCh38,WNT3A,WNT3A,NA,GSE120106,RNASeq,SRP162014_GRCh38,NA,CCD-18Co human normal colon myofibroblasts,WNT3A,NA,activating,NA,1,WNT3A,NA,1.4592149908597154
WNT3A@Condition:fibroblast&Duration:24h@E-MTAB-837.MicroArray.ChipsterNormalized_Replicate1+2_24h,WNT3A,WNT3A,2.375113753339616,E-MTAB-837,MicroArray,ChipsterNormalized_Replicate1+2_24h,NA,fibroblast,WNT3A,NA,activating,24h,1,WNT3A,3,1.4592149908597154
WNT3A@Condition:fibroblast&Duration:8h@E-MTAB-837.MicroArray.ChipsterNormalized_Replicate1+2_8h,WNT3A,WNT3A,2.0455171980243585,E-MTAB-837,MicroArray,ChipsterNormalized_Replicate1+2_8h,NA,fibroblast,WNT3A,NA,activating,8h,1,WNT3A,3,1.4592149908597154
WNT3A@Condition:H2030-BrM3@GSE14107.MicroArray.HG-U133A_2,WNT3A,WNT3A,NA,GSE14107,MicroArray,HG-U133A_2,NA,H2030-BrM3,WNT3A,NA,activating,NA,1,WNT3A,NA,1.4592149908597154
WNT3A@Condition:HCC38&Duration:12h@GSE65238.MicroArray.HuGene-1_1-st-v1,WNT3A,WNT3A,1.3080528865778276,GSE65238,MicroArray,HuGene-1_1-st-v1,NA,HCC38,WNT3A,NA,activating,12h,1,WNT3A,3,1.4592149908597154
WNT3A@Condition:HCC38&Duration:24h@GSE65238.MicroArray.HuGene-1_1-st-v1,WNT3A,WNT3A,1.723185422877565,GSE65238,MicroArray,HuGene-1_1-st-v1,NA,HCC38,WNT3A,NA,activating,24h,1,WNT3A,3,1.4592149908597154
WNT3A@Condition:HCC38&Duration:6h@GSE65238.MicroArray.HuGene-1_1-st-v1,WNT3A,WNT3A,1.2863188075733183,GSE65238,MicroArray,HuGene-1_1-st-v1,NA,HCC38,WNT3A,NA,activating,6h,1,WNT3A,3,1.4592149908597154
WNT3A@Condition:HeLa-MZ&Duration:2h@E-MTAB-6623.RNASeq.ERP107744_GRCh38,WNT3A,WNT3A,3.3348721598504154,E-MTAB-6623,RNASeq,ERP107744_GRCh38,NA,HeLa-MZ,WNT3A,NA,activating,2h,1,WNT3A,3,1.4592149908597154
WNT3A@Condition:HeLa-MZ&Duration:6h@E-MTAB-6623.RNASeq.ERP107744_GRCh38,WNT3A,WNT3A,3.4142159408244095,E-MTAB-6623,RNASeq,ERP107744_GRCh38,NA,HeLa-MZ,WNT3A,NA,activating,6h,1,WNT3A,3,1.4592149908597154
WNT3A@Condition:Hela@E-MTAB-2872.MicroArray.HuGene-2_0-st,WNT3A,WNT3A,2.735059348422764,E-MTAB-2872,MicroArray,HuGene-2_0-st,NA,Hela,WNT3A,NA,activating,NA,1,WNT3A,3,1.4592149908597154
WNT3A@Condition:HeLa&Duration:3h@GSE50248.MicroArray.GPL10558,WNT3A,WNT3A,-1.3412235255871494,GSE50248,MicroArray,GPL10558,NA,HeLa,WNT3A,NA,activating,3h,1,WNT3A,3,1.4592149908597154
WNT3A@Condition:HepaRG@GSE68633.MicroArray.GPL17077,WNT3A,WNT3A,4.393671271990108,GSE68633,MicroArray,GPL17077,NA,HepaRG,WNT3A,NA,activating,NA,1,WNT3A,3,1.4592149908597154
WNT3A@Condition:human fetal liver progenitor cells (hFLPC)@GSE106755.MicroArray.HuGene-2_1-st,WNT3A,WNT3A,-2.4511276247673472,GSE106755,MicroArray,HuGene-2_1-st,NA,human fetal liver progenitor cells (hFLPC),WNT3A,NA,activating,NA,1,WNT3A,3,1.4592149908597154
WNT3A@Condition:MDA-MB-468&Duration:12h@GSE65238.MicroArray.HuGene-1_1-st-v1,WNT3A,WNT3A,0.4991609886575664,GSE65238,MicroArray,HuGene-1_1-st-v1,NA,MDA-MB-468,WNT3A,NA,activating,12h,1,WNT3A,3,1.4592149908597154
WNT3A@Condition:MDA-MB-468&Duration:24h@GSE65238.MicroArray.HuGene-1_1-st-v1,WNT3A,WNT3A,0.31875007880980716,GSE65238,MicroArray,HuGene-1_1-st-v1,NA,MDA-MB-468,WNT3A,NA,activating,24h,1,WNT3A,3,1.4592149908597154
WNT3A@Condition:MDA-MB-468&Duration:6h@GSE65238.MicroArray.HuGene-1_1-st-v1,WNT3A,WNT3A,0.5494244684600688,GSE65238,MicroArray,HuGene-1_1-st-v1,NA,MDA-MB-468,WNT3A,NA,activating,6h,1,WNT3A,3,1.4592149908597154
WNT3A@Condition:parental H2030@GSE14107.MicroArray.HG-U133A_2,WNT3A,WNT3A,NA,GSE14107,MicroArray,HG-U133A_2,NA,parental H2030,WNT3A,NA,activating,NA,1,WNT3A,NA,1.4592149908597154
WNT3A@Condition:Parental PC9@GSE14107.MicroArray.HG-U133A_2,WNT3A,WNT3A,NA,GSE14107,MicroArray,HG-U133A_2,NA,Parental PC9,WNT3A,NA,activating,NA,1,WNT3A,NA,1.4592149908597154
WNT3A@Condition:Pc9-BrM3@GSE14107.MicroArray.HG-U133A_2,WNT3A,WNT3A,NA,GSE14107,MicroArray,HG-U133A_2,NA,Pc9-BrM3,WNT3A,NA,activating,NA,1,WNT3A,NA,1.4592149908597154
WNT3A@Condition:SV40LT-HFL@GSE106755.MicroArray.HuGene-2_1-st,WNT3A,WNT3A,1.6972336878424035,GSE106755,MicroArray,HuGene-2_1-st,NA,SV40LT-HFL,WNT3A,NA,activating,NA,1,WNT3A,3,1.4592149908597154
IL26@Condition:NHEK@GSE7216.MicroArray.HG-U133_Plus_2,IL26,IL26,1.3995096849334656,GSE7216,MicroArray,HG-U133_Plus_2,NA,NHEK,IL26,NA,activating,NA,1,IL26,3,1.3995096849334656
IL12@Condition:activated naive CD4 T cells@GSE78276.RNASeq.SRP070776_GRCh38,IL12A,IL12A,0.6556700767558997,GSE78276,RNASeq,SRP070776_GRCh38,NA,activated naive CD4 T cells,IL12A,NA,activating,NA,1,IL12,3,1.397051466863268
IL12@Condition:CD4+ T cell&Duration:48h@GSE20198.MicroArray.HG-U133A,IL12A,IL12A,1.0997456923805946,GSE20198,MicroArray,HG-U133A,NA,CD4+ T cell,IL12A,NA,activating,48h,1,IL12,3,1.397051466863268
IL12@Condition:CD4+ Th cell&Duration:12h@GSE32959.MicroArray.HG-U133_Plus_2,IL12A,IL12A,1.5388003110550565,GSE32959,MicroArray,HG-U133_Plus_2,NA,CD4+ Th cell,IL12A,NA,activating,12h,1,IL12,3,1.397051466863268
IL12@Condition:CD4+ Th cell&Duration:24h@GSE32959.MicroArray.HG-U133_Plus_2,IL12A,IL12A,1.5618538715236774,GSE32959,MicroArray,HG-U133_Plus_2,NA,CD4+ Th cell,IL12A,NA,activating,24h,1,IL12,3,1.397051466863268
IL12@Condition:CD4+ Th cell&Duration:48h@GSE32959.MicroArray.HG-U133_Plus_2,IL12A,IL12A,2.2413123452689825,GSE32959,MicroArray,HG-U133_Plus_2,NA,CD4+ Th cell,IL12A,NA,activating,48h,1,IL12,3,1.397051466863268
IL12@Condition:CD4+ Th cell&Duration:72h@GSE32959.MicroArray.HG-U133_Plus_2,IL12A,IL12A,1.2849265041953981,GSE32959,MicroArray,HG-U133_Plus_2,NA,CD4+ Th cell,IL12A,NA,activating,72h,1,IL12,3,1.397051466863268
IL3@Condition:iPSC-derived monocytes@GSE89795.MicroArray.GPL10558,IL3,IL3,NA,GSE89795,MicroArray,GPL10558,NA,iPSC-derived monocytes,IL3,NA,activating,NA,1,IL3,NA,1.3768431046920335
IL3@Condition:Primary AML MNCs&Duration:16h@GSE51402.MicroArray.HuGene-1_0-st-v1,IL3,IL3,1.649027897879332,GSE51402,MicroArray,HuGene-1_0-st-v1,NA,Primary AML MNCs,IL3,NA,activating,16h,1,IL3,3,1.3768431046920335
IL3@Condition:Primary AML MNCs&Duration:6h@GSE51402.MicroArray.HuGene-1_0-st-v1,IL3,IL3,1.914121867182455,GSE51402,MicroArray,HuGene-1_0-st-v1,NA,Primary AML MNCs,IL3,NA,activating,6h,1,IL3,3,1.3768431046920335
IL3@Condition:whole blood cells&Duration:24h@GSE110041.RNASeq.SRP132018_GRCh38,IL3,IL3,0.6565471261752355,GSE110041,RNASeq,SRP132018_GRCh38,NA,whole blood cells,IL3,NA,activating,24h,1,IL3,3,1.3768431046920335
IL3@Condition:whole blood cells&Duration:6h@GSE110041.RNASeq.SRP132018_GRCh38,IL3,IL3,1.2876755275311116,GSE110041,RNASeq,SRP132018_GRCh38,NA,whole blood cells,IL3,NA,activating,6h,1,IL3,3,1.3768431046920335
GDNF@Condition:MCF7 aromatase expressing cells (MCF7/Aro)&Duration:6d@GSE41405.MicroArray.GPL6244,GDNF,GDNF,1.3707478378639295,GSE41405,MicroArray,GPL6244,NA,MCF7 aromatase expressing cells (MCF7/Aro),GDNF,NA,activating,6d,1,GDNF,2,1.3707478378639295
ADM@Condition:Human lymphatic endothelial cells&Duration:0.25h@GSE59938.MicroArray.GPL4133,ADM,ADM,2.184086347965097,GSE59938,MicroArray,GPL4133,NA,Human lymphatic endothelial cells,ADM,NA,activating,0.25h,1,ADM,4,1.2919575082619916
ADM@Condition:Human lymphatic endothelial cells&Duration:1.0h@GSE59938.MicroArray.GPL4133,ADM,ADM,0.9757180768177118,GSE59938,MicroArray,GPL4133,NA,Human lymphatic endothelial cells,ADM,NA,activating,1.0h,1,ADM,4,1.2919575082619916
ADM@Condition:Human lymphatic endothelial cells&Duration:24.0h@GSE59938.MicroArray.GPL4133,ADM,ADM,0.7160681000031665,GSE59938,MicroArray,GPL4133,NA,Human lymphatic endothelial cells,ADM,NA,activating,24.0h,1,ADM,4,1.2919575082619916
GMCSF@Condition:Monocyte@GSE123270.MicroArray.GPL10558,CSF2,CSF2,2.909677253426368,GSE123270,MicroArray,GPL10558,NA,Monocyte,CSF2,NA,activating,NA,1,GMCSF,3,1.280681093381539
GMCSF@Condition:Monocyte@GSE123573.RNASeq.SRP173248_GRCh38,CSF2,CSF2,2.0839583732801743,GSE123573,RNASeq,SRP173248_GRCh38,NA,Monocyte,CSF2,NA,activating,NA,1,GMCSF,3,1.280681093381539
GMCSF@Condition:Monocyte@GSE41889.MicroArray.HG-U133_Plus_2,CSF2,CSF2,-4.69791591563036,GSE41889,MicroArray,HG-U133_Plus_2,NA,Monocyte,CSF2,NA,activating,NA,1,GMCSF,3,1.280681093381539
GMCSF@Condition:Monocyte@GSE63662.MicroArray.HG-U133_Plus_2,CSF2,CSF2,-0.3259212332293957,GSE63662,MicroArray,HG-U133_Plus_2,NA,Monocyte,CSF2,NA,activating,NA,1,GMCSF,3,1.280681093381539
GMCSF@Condition:Monocyte@GSE75938.MicroArray.PrimeView,CSF2,CSF2,0.41353110475959826,GSE75938,MicroArray,PrimeView,NA,Monocyte,CSF2,NA,activating,NA,1,GMCSF,3,1.280681093381539
GMCSF@Condition:pDC&Duration:24h@GSE57915.MicroArray.HG-U133_Plus_2,CSF2,CSF2,3.0489291659228672,GSE57915,MicroArray,HG-U133_Plus_2,NA,pDC,CSF2,NA,activating,24h,1,GMCSF,3,1.280681093381539
GMCSF@Condition:pDC&Duration:6h@GSE57915.MicroArray.HG-U133_Plus_2,CSF2,CSF2,3.567458299305567,GSE57915,MicroArray,HG-U133_Plus_2,NA,pDC,CSF2,NA,activating,6h,1,GMCSF,3,1.280681093381539
GMCSF@Condition:TF-1.pMSCV-puro empty vector&Duration:12h@GSE60990.MicroArray.HuGene-1_0-st-v1,CSF2,CSF2,2.232930521075986,GSE60990,MicroArray,HuGene-1_0-st-v1,NA,TF-1.pMSCV-puro empty vector,CSF2,NA,activating,12h,1,GMCSF,3,1.280681093381539
GMCSF@Condition:TF-1.pMSCVpuro-GNB1K89E&Duration:12h@GSE60990.MicroArray.HuGene-1_0-st-v1,CSF2,CSF2,2.2934822715230463,GSE60990,MicroArray,HuGene-1_0-st-v1,NA,TF-1.pMSCVpuro-GNB1K89E,CSF2,NA,activating,12h,1,GMCSF,3,1.280681093381539
IL2@Condition:B cells@GSE102460.RNASeq.SRP115151_GRCh38,IL2,IL2,NA,GSE102460,RNASeq,SRP115151_GRCh38,NA,B cells,IL2,NA,activating,NA,1,IL2,NA,1.1363003439150572
IL2@Condition:CD4+ T cell@GSE16993.MicroArray.GPL2507,IL2,IL2,-1.0447610620676353,GSE16993,MicroArray,GPL2507,NA,CD4+ T cell,IL2,NA,activating,NA,1,IL2,3,1.1363003439150572
IL2@Condition:CD45RA+&Duration:96h@GSE46903.MicroArray.GPL6947,IL2,IL2,1.3347005669383845,GSE46903,MicroArray,GPL6947,NA,CD45RA+,IL2,NA,activating,96h,1,IL2,3,1.1363003439150572
IL2@Condition:Kit225@GSE40618.MicroArray.HG-U133_Plus_2,IL2,IL2,2.093767700429572,GSE40618,MicroArray,HG-U133_Plus_2,NA,Kit225,IL2,NA,activating,NA,1,IL2,3,1.1363003439150572
IL2@Condition:NK cells-peripheral blood@GSE22886.MicroArray.HG-U133A,IL2,IL2,1.6667301256936802,GSE22886,MicroArray,HG-U133A,NA,NK cells-peripheral blood,IL2,NA,activating,NA,1,IL2,3,1.1363003439150572
IL2@Condition:Normal control PBMCs@GSE7345.MicroArray.HG-U133_Plus_2,IL2,IL2,2.1107033616563737,GSE7345,MicroArray,HG-U133_Plus_2,NA,Normal control PBMCs,IL2,NA,activating,NA,1,IL2,3,1.1363003439150572
IL2@Condition:PBMC-derived T lymphocytes@GSE13909.MicroArray.HG-U133_Plus_2,IL2,IL2,1.57272325952271,GSE13909,MicroArray,HG-U133_Plus_2,NA,PBMC-derived T lymphocytes,IL2,NA,activating,NA,1,IL2,3,1.1363003439150572
IL2@Condition:primary T-cell activaiton in CD4+ and CD8+ subsets&Duration:24h@GSE7572.MicroArray.GPL887,IL2,IL2,0.7515414103554611,GSE7572,MicroArray,GPL887,NA,primary T-cell activaiton in CD4+ and CD8+ subsets,IL2,NA,activating,24h,1,IL2,3,1.1363003439150572
IL2@Condition:primary T-cell activaiton in CD4+ and CD8+ subsets&Duration:48h@GSE7572.MicroArray.GPL887,IL2,IL2,1.6573448561086102,GSE7572,MicroArray,GPL887,NA,primary T-cell activaiton in CD4+ and CD8+ subsets,IL2,NA,activating,48h,1,IL2,3,1.1363003439150572
IL2@Condition:primary T-cell activaiton in CD4+ and CD8+ subsets&Duration:72h@GSE7572.MicroArray.GPL887,IL2,IL2,0.6553710558878055,GSE7572,MicroArray,GPL887,NA,primary T-cell activaiton in CD4+ and CD8+ subsets,IL2,NA,activating,72h,1,IL2,3,1.1363003439150572
IL2@Condition:purified naive B cells from blood&Duration:4d-6h@GSE36975.MicroArray.GPL10558,IL2,IL2,1.517798324420408,GSE36975,MicroArray,GPL10558,NA,purified naive B cells from blood,IL2,NA,activating,4d-6h,1,IL2,3,1.1363003439150572
IL2@Condition:Sez-4@GSE8685.MicroArray.HG-U133_Plus_2,IL2,IL2,1.9034782529812664,GSE8685,MicroArray,HG-U133_Plus_2,NA,Sez-4,IL2,NA,activating,NA,1,IL2,3,1.1363003439150572
IL2@Condition:spleen-derived T lymphocytes@GSE13909.MicroArray.HG-U133_Plus_2,IL2,IL2,1.3721955154230134,GSE13909,MicroArray,HG-U133_Plus_2,NA,spleen-derived T lymphocytes,IL2,NA,activating,NA,1,IL2,3,1.1363003439150572
IL2@Condition:T CD4&Duration:24h@GSE7571.MicroArray.GPL887,IL2,IL2,-0.614646839972712,GSE7571,MicroArray,GPL887,NA,T CD4,IL2,NA,activating,24h,1,IL2,3,1.1363003439150572
IL2@Condition:T CD4&Duration:72h@GSE7571.MicroArray.GPL887,IL2,IL2,-0.5321414688980607,GSE7571,MicroArray,GPL887,NA,T CD4,IL2,NA,activating,72h,1,IL2,3,1.1363003439150572
IL2@Condition:T CD8@GSE64713.RNASeq.SRP051736_GRCh38,IL2,IL2,2.59970010024698,GSE64713,RNASeq,SRP051736_GRCh38,NA,T CD8,IL2,NA,activating,NA,1,IL2,3,1.1363003439150572
TGFA@Condition:human keratinocytes&Duration:120min@GSE8531.MicroArray.HG-U133A_2,TGFA,TGFA,1.4200062608493536,GSE8531,MicroArray,HG-U133A_2,NA,human keratinocytes,TGFA,NA,activating,120min,1,TGFA,2,1.0550312327632214
TGFA@Condition:human keratinocytes&Duration:30min@GSE8531.MicroArray.HG-U133A_2,TGFA,TGFA,0.5987493499003262,GSE8531,MicroArray,HG-U133A_2,NA,human keratinocytes,TGFA,NA,activating,30min,1,TGFA,2,1.0550312327632214
TGFA@Condition:human keratinocytes&Duration:60min@GSE8531.MicroArray.HG-U133A_2,TGFA,TGFA,1.1463380875399845,GSE8531,MicroArray,HG-U133A_2,NA,human keratinocytes,TGFA,NA,activating,60min,1,TGFA,2,1.0550312327632214
EGF@Condition:Basal breast cancer cells@GSE121663.RNASeq.SRP166454_GRCh38,EGF,EGF,1.9904728460155545,GSE121663,RNASeq,SRP166454_GRCh38,NA,Basal breast cancer cells,EGF,NA,activating,NA,1,EGF,2,0.9461357935140179
EGF@Condition:Glioblastoma.X01&Duration:5d@GSE77751.RNASeq.SRP069837_GRCh38,EGF,EGF,-0.27206084837365324,GSE77751,RNASeq,SRP069837_GRCh38,NA,Glioblastoma.X01,EGF,NA,activating,5d,1,EGF,2,0.9461357935140179
EGF@Condition:Glioblastoma.X04&Duration:5d@GSE77751.RNASeq.SRP069837_GRCh38,EGF,EGF,-0.10697803899083125,GSE77751,RNASeq,SRP069837_GRCh38,NA,Glioblastoma.X04,EGF,NA,activating,5d,1,EGF,2,0.9461357935140179
EGF@Condition:Glioblastoma.X08&Duration:5d@GSE77751.RNASeq.SRP069837_GRCh38,EGF,EGF,0.020325366527738073,GSE77751,RNASeq,SRP069837_GRCh38,NA,Glioblastoma.X08,EGF,NA,activating,5d,1,EGF,2,0.9461357935140179
EGF@Condition:Hec50co&Duration:12h@GSE20854.MicroArray.HG-U133_Plus_2,EGF,EGF,0.07290006414977822,GSE20854,MicroArray,HG-U133_Plus_2,NA,Hec50co,EGF,NA,activating,12h,1,EGF,2,0.9461357935140179
EGF@Condition:Hec50co&Duration:24h@GSE20854.MicroArray.HG-U133_Plus_2,EGF,EGF,1.0784196583673062,GSE20854,MicroArray,HG-U133_Plus_2,NA,Hec50co,EGF,NA,activating,24h,1,EGF,2,0.9461357935140179
EGF@Condition:Human fetal colon@GSE33806.MicroArray.GPL10558,EGF,EGF,-1.0945777178836202,GSE33806,MicroArray,GPL10558,NA,Human fetal colon,EGF,NA,activating,NA,1,EGF,2,0.9461357935140179
EGF@Condition:Human fetal ileum@GSE33806.MicroArray.GPL10558,EGF,EGF,1.3587357982029087,GSE33806,MicroArray,GPL10558,NA,Human fetal ileum,EGF,NA,activating,NA,1,EGF,2,0.9461357935140179
EGF@Condition:Human Lung Fibroblasts&Duration:0.5h@GSE60880.MicroArray.HG-U133A_2,EGF,EGF,1.0755281815681685,GSE60880,MicroArray,HG-U133A_2,NA,Human Lung Fibroblasts,EGF,NA,activating,0.5h,1,EGF,2,0.9461357935140179
EGF@Condition:Human Lung Fibroblasts&Duration:1.0h@GSE60880.MicroArray.HG-U133A_2,EGF,EGF,1.2564188070238136,GSE60880,MicroArray,HG-U133A_2,NA,Human Lung Fibroblasts,EGF,NA,activating,1.0h,1,EGF,2,0.9461357935140179
EGF@Condition:Human Lung Fibroblasts&Duration:2.0h@GSE60880.MicroArray.HG-U133A_2,EGF,EGF,1.1489600503434503,GSE60880,MicroArray,HG-U133A_2,NA,Human Lung Fibroblasts,EGF,NA,activating,2.0h,1,EGF,2,0.9461357935140179
EGF@Condition:Human Lung Fibroblasts&Duration:8.0h@GSE60880.MicroArray.HG-U133A_2,EGF,EGF,1.5310843702468844,GSE60880,MicroArray,HG-U133A_2,NA,Human Lung Fibroblasts,EGF,NA,activating,8.0h,1,EGF,2,0.9461357935140179
EGF@Condition:Human proximal tubular epithelial cells@GSE113039.RNASeq.SRP139759_GRCh38,EGF,EGF,1.5983763262383737,GSE113039,RNASeq,SRP139759_GRCh38,NA,Human proximal tubular epithelial cells,EGF,NA,activating,NA,1,EGF,2,0.9461357935140179
EGF@Condition:Ishikawa H&Duration:12h@GSE20854.MicroArray.HG-U133_Plus_2,EGF,EGF,1.4756476391307272,GSE20854,MicroArray,HG-U133_Plus_2,NA,Ishikawa H,EGF,NA,activating,12h,1,EGF,2,0.9461357935140179
EGF@Condition:Ishikawa H&Duration:24h@GSE20854.MicroArray.HG-U133_Plus_2,EGF,EGF,2.4737118232919406,GSE20854,MicroArray,HG-U133_Plus_2,NA,Ishikawa H,EGF,NA,activating,24h,1,EGF,2,0.9461357935140179
EGF@Condition:MCF10A&Duration:20min@GSE53405.MicroArray.HuEx-1_0-st-v1,EGF,EGF,-0.08037388191606416,GSE53405,MicroArray,HuEx-1_0-st-v1,NA,MCF10A,EGF,NA,activating,20min,1,EGF,2,0.9461357935140179
EGF@Condition:MCF10A&Duration:40min@GSE53405.MicroArray.HuEx-1_0-st-v1,EGF,EGF,0.7047630111864492,GSE53405,MicroArray,HuEx-1_0-st-v1,NA,MCF10A,EGF,NA,activating,40min,1,EGF,2,0.9461357935140179
EGF@Condition:MCF10A&Duration:60min@GSE53405.MicroArray.HuEx-1_0-st-v1,EGF,EGF,2.3766155456705222,GSE53405,MicroArray,HuEx-1_0-st-v1,NA,MCF10A,EGF,NA,activating,60min,1,EGF,2,0.9461357935140179
EGF@Condition:MCF7@GSE112295.RNASeq.SRP136387_GRCh38,EGF,EGF,0.8711687484136691,GSE112295,RNASeq,SRP136387_GRCh38,NA,MCF7,EGF,NA,activating,NA,1,EGF,2,0.9461357935140179
EGF@Condition:Mesenchymal stromal cells@GSE121697.RNASeq.SRP166560_GRCh38,EGF,EGF,1.0338625091995044,GSE121697,RNASeq,SRP166560_GRCh38,NA,Mesenchymal stromal cells,EGF,NA,activating,NA,1,EGF,2,0.9461357935140179
EGF@Condition:primary keratinocyte@GSE32217.MicroArray.HuGene-1_0-st-v1,EGF,EGF,1.3558514053817559,GSE32217,MicroArray,HuGene-1_0-st-v1,NA,primary keratinocyte,EGF,NA,activating,NA,1,EGF,2,0.9461357935140179
HGF@Condition:H1975&Duration:24h@GSE98979.MicroArray.HuGene-2_0-st,HGF,HGF,0.814997972010689,GSE98979,MicroArray,HuGene-2_0-st,NA,H1975,HGF,NA,activating,24h,1,HGF,3,0.9193350795161749
HGF@Condition:H1975&Duration:48h@GSE98979.MicroArray.HuGene-2_0-st,HGF,HGF,0.5855092439619707,GSE98979,MicroArray,HuGene-2_0-st,NA,H1975,HGF,NA,activating,48h,1,HGF,3,0.9193350795161749
HGF@Condition:lymphatic endothelial cells@E-MEXP-256.MicroArray.HG-U133_Plus_2,HGF,HGF,0.7373490010498707,E-MEXP-256,MicroArray,HG-U133_Plus_2,NA,lymphatic endothelial cells,HGF,NA,activating,NA,1,HGF,3,0.9193350795161749
HGF@Condition:prostate adenocarcinoma cell line PC3M&Duration:16h@GSE71404.MicroArray.GPL570,HGF,HGF,1.3364086622747116,GSE71404,MicroArray,GPL570,NA,prostate adenocarcinoma cell line PC3M,HGF,NA,activating,16h,1,HGF,3,0.9193350795161749
