id,source,score,target,accession,platformType,platform,pathway,cells,treatment,dose,effect,hours,sign,targets,hours_standardized,hours_inferred,inferred_time,inferred_time_systematic,inferred_time_expanded,inferred_time_all_conditions
IL10@Condition:Macrophage&Duration:24h@GSE47538.MicroArray.GPL13497,IL10,-2.1090503081535905,IL10,GSE47538,MicroArray,GPL13497,,Macrophage,IL10,,activating,24h,1.0,IL10,24.0,24.0,24.0,24.0,24.0,24.0
IL10@Condition:Macrophage&Duration:24h@GSE57614.MicroArray.GPL6480,IL10,2.854439425495067,IL10,GSE57614,MicroArray,GPL6480,,Macrophage,IL10,,activating,24h,1.0,IL10,24.0,24.0,24.0,24.0,24.0,24.0
IL10@Condition:Macrophage&Duration:6h@GSE57614.MicroArray.GPL6480,IL10,0.998801226064745,IL10,GSE57614,MicroArray,GPL6480,,Macrophage,IL10,,activating,6h,1.0,IL10,6.0,6.0,6.0,6.0,6.0,6.0
IL10@Condition:MCSF Macrophage&Duration:2d@GSE61298.MicroArray.PrimeView,IL10,0.5604891968700909,IL10,GSE61298,MicroArray,PrimeView,,MCSF Macrophage,IL10,,activating,2d,1.0,IL10,48.0,48.0,48.0,48.0,48.0,48.0
IL10@Condition:Monocyte&Duration:3h@GSE82166.MicroArray.HuGene-1_0-st-v1,IL10,1.331174611722569,IL10,GSE82166,MicroArray,HuGene-1_0-st-v1,,Monocyte,IL10,,activating,3h,1.0,IL10,3.0,3.0,3.0,3.0,3.0,3.0
IL10@Condition:Monocytes&Duration:1h@GSE35683.MicroArray.HG-U133_Plus_2,IL10,4.669177695125503,IL10,GSE35683,MicroArray,HG-U133_Plus_2,,Monocytes,IL10,,activating,1h,1.0,IL10,1.0,1.0,1.0,1.0,1.0,1.0
IL10@Condition:PBMC+MEC=1:1@GSE17493.MicroArray.GPL6480,IL10,-1.080791851151227,IL10,GSE17493,MicroArray,GPL6480,,PBMC+MEC=1:1,IL10,,activating,,1.0,IL10,,,,,,
IL10@Condition:PBMC+MEC=10:1@GSE17493.MicroArray.GPL6480,IL10,-1.5373374640815016,IL10,GSE17493,MicroArray,GPL6480,,PBMC+MEC=10:1,IL10,,activating,,1.0,IL10,,,,,,
IL10@Condition:Polymorphonuclear cells&Duration:1h@GSE35683.MicroArray.HG-U133_Plus_2,IL10,1.627365647101077,IL10,GSE35683,MicroArray,HG-U133_Plus_2,,Polymorphonuclear cells,IL10,,activating,1h,1.0,IL10,1.0,1.0,1.0,1.0,1.0,1.0
IL10@Condition:T CD8@GSE79127.MicroArray.HG-U133A_2,IL10,5.0996556142104925,IL10,GSE79127,MicroArray,HG-U133A_2,,T CD8,IL10,,activating,,1.0,IL10,,,,,,
IL11@Condition:Cardiac fibroblasts&Duration:24h@GSE96975.RNASeq.SRP102374_GRCh38,IL11,-1.9013255604204344,IL11,GSE96975,RNASeq,SRP102374_GRCh38,,Cardiac fibroblasts,IL11,,activating,24h,1.0,IL11,24.0,24.0,24.0,24.0,24.0,24.0
IL11@Condition:hESC line H1@GSE51159.MicroArray.GPL6883,IL11,0.8910554114775966,IL11,GSE51159,MicroArray,GPL6883,,hESC line H1,IL11,,activating,,1.0,IL11,,,,,,
IL12@Condition:activated naive CD4 T cells@GSE78276.RNASeq.SRP070776_GRCh38,IL12A,1.2139331373059667,IL12A,GSE78276,RNASeq,SRP070776_GRCh38,,activated naive CD4 T cells,IL12A,,activating,,1.0,IL12,,,,,,
IL12@Condition:CD4+ T cell&Duration:48h@GSE20198.MicroArray.HG-U133A,IL12A,1.8143603399803323,IL12A,GSE20198,MicroArray,HG-U133A,,CD4+ T cell,IL12A,,activating,48h,1.0,IL12,48.0,48.0,48.0,48.0,48.0,48.0
IL12@Condition:CD4+ Th cell&Duration:12h@GSE32959.MicroArray.HG-U133_Plus_2,IL12A,1.6265251587738192,IL12A,GSE32959,MicroArray,HG-U133_Plus_2,,CD4+ Th cell,IL12A,,activating,12h,1.0,IL12,12.0,12.0,12.0,12.0,12.0,12.0
IL12@Condition:CD4+ Th cell&Duration:24h@GSE32959.MicroArray.HG-U133_Plus_2,IL12A,2.1872835181108017,IL12A,GSE32959,MicroArray,HG-U133_Plus_2,,CD4+ Th cell,IL12A,,activating,24h,1.0,IL12,24.0,24.0,24.0,24.0,24.0,24.0
IL12@Condition:CD4+ Th cell&Duration:48h@GSE32959.MicroArray.HG-U133_Plus_2,IL12A,2.3595263445691685,IL12A,GSE32959,MicroArray,HG-U133_Plus_2,,CD4+ Th cell,IL12A,,activating,48h,1.0,IL12,48.0,48.0,48.0,48.0,48.0,48.0
IL12@Condition:CD4+ Th cell&Duration:72h@GSE32959.MicroArray.HG-U133_Plus_2,IL12A,1.8932521865482568,IL12A,GSE32959,MicroArray,HG-U133_Plus_2,,CD4+ Th cell,IL12A,,activating,72h,1.0,IL12,72.0,72.0,72.0,72.0,72.0,72.0
IL13@Condition:Airway Epithelia&Duration:48h@GSE116927.RNASeq.SRP153060_GRCh38,IL13,3.6180303298257854,IL13,GSE116927,RNASeq,SRP153060_GRCh38,,Airway Epithelia,IL13,,activating,48h,1.0,IL13,48.0,48.0,48.0,48.0,48.0,48.0
IL13@Condition:AT CC16Lu&Duration:24 h@GSE43515.MicroArray.HG-U133A_2,IL13,-0.9522880637345,IL13,GSE43515,MicroArray,HG-U133A_2,,AT CC16Lu,IL13,,activating,24 h,1.0,IL13,24.0,24.0,24.0,24.0,24.0,24.0
IL13@Condition:AT CC16Lu&Duration:4 h@GSE43515.MicroArray.HG-U133A_2,IL13,-0.3113201142131527,IL13,GSE43515,MicroArray,HG-U133A_2,,AT CC16Lu,IL13,,activating,4 h,1.0,IL13,4.0,4.0,4.0,4.0,4.0,4.0
IL13@Condition:AT CC16Lu&Duration:48 h@GSE43515.MicroArray.HG-U133A_2,IL13,0.8907714052980734,IL13,GSE43515,MicroArray,HG-U133A_2,,AT CC16Lu,IL13,,activating,48 h,1.0,IL13,48.0,48.0,48.0,48.0,48.0,48.0
IL13@Condition:Blood (PBMC)&Duration:24h@GSE79027.RNASeq.SRP071332_GRCh38,IL13,4.038845239892518,IL13,GSE79027,RNASeq,SRP071332_GRCh38,,Blood (PBMC),IL13,,activating,24h,1.0,IL13,24.0,24.0,24.0,24.0,24.0,24.0
IL13@Condition:Epithelial&Duration:21d@GSE37693.MicroArray.GPL6947,IL13,,IL13,GSE37693,MicroArray,GPL6947,,Epithelial,IL13,,activating,21d,1.0,IL13,504.0,504.0,504.0,504.0,504.0,504.0
IL13@Condition:Fibroblast.IMR-90@GSE47527.MicroArray.GPL6480,IL13,,IL13,GSE47527,MicroArray,GPL6480,,Fibroblast.IMR-90,IL13,,activating,,1.0,IL13,,,,,,
IL13@Condition:Fibroblast.IMR90&Duration:24h@GSE47542.MicroArray.GPL6480,IL13,,IL13,GSE47542,MicroArray,GPL6480,,Fibroblast.IMR90,IL13,,activating,24h,1.0,IL13,24.0,24.0,24.0,24.0,24.0,24.0
IL13@Condition:HNEC@GSE19182.MicroArray.HuGene-1_0-st-v1,IL13,-0.1385153259405228,IL13,GSE19182,MicroArray,HuGene-1_0-st-v1,,HNEC,IL13,,activating,,1.0,IL13,,,,,,
IL13@Condition:Human bronchial cell line A549&Duration:24h@GSE3183.MicroArray.HG-U133A,IL13,-1.767618599077358,IL13,GSE3183,MicroArray,HG-U133A,,Human bronchial cell line A549,IL13,,activating,24h,1.0,IL13,24.0,24.0,24.0,24.0,24.0,24.0
IL13@Condition:lung fibroblast cell line@GSE56338.MicroArray.GPL10558,IL13,,IL13,GSE56338,MicroArray,GPL10558,,lung fibroblast cell line,IL13,,activating,,1.0,IL13,,,,,,
IL13@Condition:Macrophage&Duration:24h@GSE47538.MicroArray.GPL13497,IL13,,IL13,GSE47538,MicroArray,GPL13497,,Macrophage,IL13,,activating,24h,1.0,IL13,24.0,24.0,24.0,24.0,24.0,24.0
IL13@Condition:MCF10CA1a.pLKO-shSCR@GSE57677.MicroArray.HuGene-1_0-st-v1,IL13,3.336220670064694,IL13,GSE57677,MicroArray,HuGene-1_0-st-v1,,MCF10CA1a.pLKO-shSCR,IL13,,activating,,1.0,IL13,,,,,,
IL13@Condition:Monocyte&Duration:24h@GSE47538.MicroArray.GPL13497,IL13,,IL13,GSE47538,MicroArray,GPL13497,,Monocyte,IL13,,activating,24h,1.0,IL13,24.0,24.0,24.0,24.0,24.0,24.0
IL13@Condition:Monocyte&Duration:6h@GSE47538.MicroArray.GPL13497,IL13,,IL13,GSE47538,MicroArray,GPL13497,,Monocyte,IL13,,activating,6h,1.0,IL13,6.0,6.0,6.0,6.0,6.0,6.0
IL13@Condition:Normal lung fibroblast&Duration:24h@GSE47538.MicroArray.GPL13497,IL13,,IL13,GSE47538,MicroArray,GPL13497,,Normal lung fibroblast,IL13,,activating,24h,1.0,IL13,24.0,24.0,24.0,24.0,24.0,24.0
IL15@Condition:NK cells-peripheral blood@GSE22886.MicroArray.HG-U133A,IL15,1.69673982797985,IL15,GSE22886,MicroArray,HG-U133A,,NK cells-peripheral blood,IL15,,activating,,1.0,IL15,,,,,,
IL15@Condition:Sez-4@GSE8685.MicroArray.HG-U133_Plus_2,IL15,3.4044997027404977,IL15,GSE8685,MicroArray,HG-U133_Plus_2,,Sez-4,IL15,,activating,,1.0,IL15,,,,,,
IL18@Condition:Whole Blood&Duration:2h@GSE25742.MicroArray.GPL10558,IL18,-0.6281916728205289,IL18,GSE25742,MicroArray,GPL10558,,Whole Blood,IL18,,activating,2h,1.0,IL18,2.0,2.0,2.0,2.0,2.0,2.0
IL19@Condition:NHEK@GSE7216.MicroArray.HG-U133_Plus_2,IL19,3.606987146620039,IL19,GSE7216,MicroArray,HG-U133_Plus_2,,NHEK,IL19,,activating,,1.0,IL19,,,,,,
IL1A@Condition:Calu-3 2B4&Duration:24h@GSE56678.MicroArray.GPL6480,IL1A,2.2953916388918096,IL1A,GSE56678,MicroArray,GPL6480,,Calu-3 2B4,IL1A,,activating,24h,1.0,IL1A,24.0,24.0,24.0,24.0,24.0,24.0
IL1A@Condition:Calu-3 2B4&Duration:3h@GSE56678.MicroArray.GPL6480,IL1A,2.1825807891550637,IL1A,GSE56678,MicroArray,GPL6480,,Calu-3 2B4,IL1A,,activating,3h,1.0,IL1A,3.0,3.0,3.0,3.0,3.0,3.0
IL1A@Condition:Calu-3 2B4&Duration:6h@GSE56678.MicroArray.GPL6480,IL1A,2.2200783607708656,IL1A,GSE56678,MicroArray,GPL6480,,Calu-3 2B4,IL1A,,activating,6h,1.0,IL1A,6.0,6.0,6.0,6.0,6.0,6.0
IL1A@Condition:HeLa&Duration:0.5h@GSE52465.MicroArray.GPL6480,IL1A,2.0526442303569943,IL1A,GSE52465,MicroArray,GPL6480,,HeLa,IL1A,,activating,0.5h,1.0,IL1A,0.5,0.5,0.5,0.5,0.5,0.5
IL1B@Condition:A549&Duration:6h@GSE120269.RNASeq.SRP162275_GRCh38,IL1B,3.307593707619719,IL1B,GSE120269,RNASeq,SRP162275_GRCh38,,A549,IL1B,,activating,6h,1.0,IL1B,6.0,6.0,6.0,6.0,6.0,6.0
IL1B@Condition:Decidualized human endometrial stromal cells&Duration:6 h@GSE58220.MicroArray.HuGene-2_0-st,IL1B,2.132832835967368,IL1B,GSE58220,MicroArray,HuGene-2_0-st,,Decidualized human endometrial stromal cells,IL1B,,activating,6 h,1.0,IL1B,6.0,6.0,6.0,6.0,6.0,6.0
IL1B@Condition:Endothelial cells@GSE96962.RNASeq.SRP102361_GRCh38,IL1B,2.2811217487337165,IL1B,GSE96962,RNASeq,SRP102361_GRCh38,,Endothelial cells,IL1B,,activating,,1.0,IL1B,,,,,,
IL1B@Condition:HAEC&Duration:4h@GSE89970.RNASeq.SRP093727_GRCh38,IL1B,2.672775623277259,IL1B,GSE89970,RNASeq,SRP093727_GRCh38,,HAEC,IL1B,,activating,4h,1.0,IL1B,4.0,4.0,4.0,4.0,4.0,4.0
IL1B@Condition:HPAECs_BET762&Duration:48h@GSE125508.MicroArray.Clariom_S_Human,IL1B,2.198722846160564,IL1B,GSE125508,MicroArray,Clariom_S_Human,,HPAECs,IL1B,,activating,48h,1.0,IL1B,48.0,48.0,48.0,48.0,48.0,48.0
IL1B@Condition:HPAECs_control&Duration:48h@GSE125508.MicroArray.Clariom_S_Human,IL1B,2.0539663103912797,IL1B,GSE125508,MicroArray,Clariom_S_Human,,HPAECs,IL1B,,activating,48h,1.0,IL1B,48.0,48.0,48.0,48.0,48.0,48.0
IL1B@Condition:hTERT-HMA/B Human Myometrial Cell Line@GSE134896.RNASeq.SRP216421_GRCh38,IL1B,1.948043481888796,IL1B,GSE134896,RNASeq,SRP216421_GRCh38,,hTERT-HMA/B Human Myometrial Cell Line,IL1B,,activating,,1.0,IL1B,,,,,,
IL1B@Condition:Human Lung Fibroblasts&Duration:0.5h@GSE60880.MicroArray.HG-U133A_2,IL1B,2.740047629891859,IL1B,GSE60880,MicroArray,HG-U133A_2,,Human Lung Fibroblasts,IL1B,,activating,0.5h,1.0,IL1B,0.5,0.5,0.5,0.5,0.5,0.5
IL1B@Condition:Human Lung Fibroblasts&Duration:1.0h@GSE60880.MicroArray.HG-U133A_2,IL1B,2.6835038343356694,IL1B,GSE60880,MicroArray,HG-U133A_2,,Human Lung Fibroblasts,IL1B,,activating,1.0h,1.0,IL1B,1.0,1.0,1.0,1.0,1.0,1.0
IL1B@Condition:Human Lung Fibroblasts&Duration:2.0h@GSE60880.MicroArray.HG-U133A_2,IL1B,2.5897767966687257,IL1B,GSE60880,MicroArray,HG-U133A_2,,Human Lung Fibroblasts,IL1B,,activating,2.0h,1.0,IL1B,2.0,2.0,2.0,2.0,2.0,2.0
IL1B@Condition:Human Lung Fibroblasts&Duration:8.0h@GSE60880.MicroArray.HG-U133A_2,IL1B,2.2448137412950846,IL1B,GSE60880,MicroArray,HG-U133A_2,,Human Lung Fibroblasts,IL1B,,activating,8.0h,1.0,IL1B,8.0,8.0,8.0,8.0,8.0,8.0
IL1B@Condition:Human_Epithelial_A549@GSE101868.RNASeq.SRP113550_GRCh38,IL1B,2.680210914497924,IL1B,GSE101868,RNASeq,SRP113550_GRCh38,,Human,IL1B,,activating,,1.0,IL1B,,,,,,
IL1B@Condition:Macrophage&Duration:24 h@GSE85346.MicroArray.GPL13497,IL1B,2.778775486823334,IL1B,GSE85346,MicroArray,GPL13497,,Macrophage,IL1B,,activating,24 h,1.0,IL1B,24.0,24.0,24.0,24.0,24.0,24.0
IL1B@Condition:NHEK@GSE7216.MicroArray.HG-U133_Plus_2,IL1B,1.8158976159866496,IL1B,GSE7216,MicroArray,HG-U133_Plus_2,,NHEK,IL1B,,activating,,1.0,IL1B,,,,,,
IL1B@Condition:nontransformed primary fetal intestinal epithelial cell line@GSE62208.MicroArray.HuGene-2_0-st,IL1B,1.5538626175293389,IL1B,GSE62208,MicroArray,HuGene-2_0-st,,nontransformed primary fetal intestinal epithelial cell line,IL1B,,activating,,1.0,IL1B,,,,,,
IL1B@Condition:OE-E6/E7@GSE54608.MicroArray.GPL10558,IL1B,-0.3339608124858522,IL1B,GSE54608,MicroArray,GPL10558,,OE-E6/E7,IL1B,,activating,,1.0,IL1B,,,,,,
IL1B@Condition:Smooth muscle cells@GSE96962.RNASeq.SRP102361_GRCh38,IL1B,2.5909729640795347,IL1B,GSE96962,RNASeq,SRP102361_GRCh38,,Smooth muscle cells,IL1B,,activating,,1.0,IL1B,,,,,,
IL1B@Condition:vascular endothelial cells@GSE115311.RNASeq.SRP149723_GRCh38,IL1B,2.921192598893804,IL1B,GSE115311,RNASeq,SRP149723_GRCh38,,vascular endothelial cells,IL1B,,activating,,1.0,IL1B,,,,,,
IL1B@Condition:Whole Blood.healthy adult&Duration:6h@GSE103500.MicroArray.GPL10558,IL1B,1.171636594091258,IL1B,GSE103500,MicroArray,GPL10558,,Whole Blood.healthy adult,IL1B,,activating,6h,1.0,IL1B,6.0,6.0,6.0,6.0,6.0,6.0
IL1B@Condition:Whole Blood&Duration:2h@GSE25742.MicroArray.GPL10558,IL1B,0.6510842060057114,IL1B,GSE25742,MicroArray,GPL10558,,Whole Blood,IL1B,,activating,2h,1.0,IL1B,2.0,2.0,2.0,2.0,2.0,2.0
IL2@Condition:B cells@GSE102460.RNASeq.SRP115151_GRCh38,IL2,,IL2,GSE102460,RNASeq,SRP115151_GRCh38,,B cells,IL2,,activating,,1.0,IL2,,,,,,
IL2@Condition:CD4+ T cell@GSE16993.MicroArray.GPL2507,IL2,-2.213339572658921,IL2,GSE16993,MicroArray,GPL2507,,CD4+ T cell,IL2,,activating,,1.0,IL2,,,,,,
IL2@Condition:CD45RA+&Duration:96h@GSE46903.MicroArray.GPL6947,IL2,3.15153205990154,IL2,GSE46903,MicroArray,GPL6947,,CD45RA+,IL2,,activating,96h,1.0,IL2,96.0,96.0,96.0,96.0,96.0,96.0
IL2@Condition:Kit225@GSE40618.MicroArray.HG-U133_Plus_2,IL2,3.1427216481862352,IL2,GSE40618,MicroArray,HG-U133_Plus_2,,Kit225,IL2,,activating,,1.0,IL2,,,,,,
IL2@Condition:NK cells-peripheral blood@GSE22886.MicroArray.HG-U133A,IL2,2.697908233107641,IL2,GSE22886,MicroArray,HG-U133A,,NK cells-peripheral blood,IL2,,activating,,1.0,IL2,,,,,,
IL2@Condition:Normal control PBMCs@GSE7345.MicroArray.HG-U133_Plus_2,IL2,3.334704001762511,IL2,GSE7345,MicroArray,HG-U133_Plus_2,,Normal control PBMCs,IL2,,activating,,1.0,IL2,,,,,,
IL2@Condition:PBMC-derived T lymphocytes@GSE13909.MicroArray.HG-U133_Plus_2,IL2,3.506994119855906,IL2,GSE13909,MicroArray,HG-U133_Plus_2,,PBMC-derived T lymphocytes,IL2,,activating,,1.0,IL2,,,,,,
IL2@Condition:primary T-cell activaiton in CD4+ and CD8+ subsets&Duration:24h@GSE7572.MicroArray.GPL887,IL2,-1.631214601752521,IL2,GSE7572,MicroArray,GPL887,,primary T-cell activaiton in CD4+ and CD8+ subsets,IL2,,activating,24h,1.0,IL2,24.0,24.0,24.0,24.0,24.0,24.0
IL2@Condition:primary T-cell activaiton in CD4+ and CD8+ subsets&Duration:48h@GSE7572.MicroArray.GPL887,IL2,1.907357858668326,IL2,GSE7572,MicroArray,GPL887,,primary T-cell activaiton in CD4+ and CD8+ subsets,IL2,,activating,48h,1.0,IL2,48.0,48.0,48.0,48.0,48.0,48.0
IL2@Condition:primary T-cell activaiton in CD4+ and CD8+ subsets&Duration:72h@GSE7572.MicroArray.GPL887,IL2,0.5987037254149791,IL2,GSE7572,MicroArray,GPL887,,primary T-cell activaiton in CD4+ and CD8+ subsets,IL2,,activating,72h,1.0,IL2,72.0,72.0,72.0,72.0,72.0,72.0
IL2@Condition:purified naive B cells from blood&Duration:4d-6h@GSE36975.MicroArray.GPL10558,IL2,2.89814882778206,IL2,GSE36975,MicroArray,GPL10558,,purified naive B cells from blood,IL2,,activating,4d-6h,1.0,IL2,,,,,,
IL2@Condition:Sez-4@GSE8685.MicroArray.HG-U133_Plus_2,IL2,3.0926738549329302,IL2,GSE8685,MicroArray,HG-U133_Plus_2,,Sez-4,IL2,,activating,,1.0,IL2,,,,,,
IL2@Condition:spleen-derived T lymphocytes@GSE13909.MicroArray.HG-U133_Plus_2,IL2,2.3415892797143045,IL2,GSE13909,MicroArray,HG-U133_Plus_2,,spleen-derived T lymphocytes,IL2,,activating,,1.0,IL2,,,,,,
IL2@Condition:T CD4&Duration:24h@GSE7571.MicroArray.GPL887,IL2,0.4690815053457693,IL2,GSE7571,MicroArray,GPL887,,T CD4,IL2,,activating,24h,1.0,IL2,24.0,24.0,24.0,24.0,24.0,24.0
IL2@Condition:T CD4&Duration:72h@GSE7571.MicroArray.GPL887,IL2,0.0781466144171844,IL2,GSE7571,MicroArray,GPL887,,T CD4,IL2,,activating,72h,1.0,IL2,72.0,72.0,72.0,72.0,72.0,72.0
IL2@Condition:T CD8@GSE64713.RNASeq.SRP051736_GRCh38,IL2,5.48795777208684,IL2,GSE64713,RNASeq,SRP051736_GRCh38,,T CD8,IL2,,activating,,1.0,IL2,,,,,,
IL20@Condition:NHEK@GSE7216.MicroArray.HG-U133_Plus_2,IL20,2.669037844997272,IL20,GSE7216,MicroArray,HG-U133_Plus_2,,NHEK,IL20,,activating,,1.0,IL20,,,,,,
IL21@Condition:B cell@GSE111475.MicroArray.GPL10558,IL21,2.737869720855288,IL21,GSE111475,MicroArray,GPL10558,,B cell,IL21,,activating,,1.0,IL21,,,,,,
IL21@Condition:Sez-4@GSE8685.MicroArray.HG-U133_Plus_2,IL21,2.2120828008760283,IL21,GSE8685,MicroArray,HG-U133_Plus_2,,Sez-4,IL21,,activating,,1.0,IL21,,,,,,
IL22@Condition:HaCaT@GSE72396.MicroArray.HuGene-2_0-st,IL22,-2.7726131221667,IL22,GSE72396,MicroArray,HuGene-2_0-st,,HaCaT,IL22,,activating,,1.0,IL22,,,,,,
IL22@Condition:human epidermal keratinocytes&Duration:24h@GSE53751.MicroArray.HG-U133_Plus_2,IL22,3.864512036714434,IL22,GSE53751,MicroArray,HG-U133_Plus_2,,human epidermal keratinocytes,IL22,,activating,24h,1.0,IL22,24.0,24.0,24.0,24.0,24.0,24.0
IL22@Condition:NHEK@GSE7216.MicroArray.HG-U133_Plus_2,IL22,4.307660083185952,IL22,GSE7216,MicroArray,HG-U133_Plus_2,,NHEK,IL22,,activating,,1.0,IL22,,,,,,
IL24@Condition:NHEK@GSE7216.MicroArray.HG-U133_Plus_2,IL24,4.901792296719275,IL24,GSE7216,MicroArray,HG-U133_Plus_2,,NHEK,IL24,,activating,,1.0,IL24,,,,,,
IL26@Condition:NHEK@GSE7216.MicroArray.HG-U133_Plus_2,IL26,1.3115650014588789,IL26,GSE7216,MicroArray,HG-U133_Plus_2,,NHEK,IL26,,activating,,1.0,IL26,,,,,,
IL27@Condition:CD14+ monocyte with MCSF@GSE44955.MicroArray.HuGene-1_0-st-v1,IL27,,IL27,GSE44955,MicroArray,HuGene-1_0-st-v1,,CD14+ monocyte with MCSF,IL27,,activating,,1.0,IL27,,,,,,
IL27@Condition:Hep3B@E-MTAB-4570.MicroArray.HTA-2_0,IL27,5.164170743839075,IL27,E-MTAB-4570,MicroArray,HTA-2_0,,Hep3B,IL27,,activating,,1.0,IL27,,,,,,
IL27@Condition:HepG2@E-MTAB-4570.MicroArray.HTA-2_0,IL27,4.643670762573154,IL27,E-MTAB-4570,MicroArray,HTA-2_0,,HepG2,IL27,,activating,,1.0,IL27,,,,,,
IL27@Condition:HuH-7@E-MTAB-4570.MicroArray.HTA-2_0,IL27,5.010593070934125,IL27,E-MTAB-4570,MicroArray,HTA-2_0,,HuH-7,IL27,,activating,,1.0,IL27,,,,,,
IL27@Condition:Monocyte derived immature DCs@GSE44732.MicroArray.HuGene-1_0-st-v1,IL27,,IL27,GSE44732,MicroArray,HuGene-1_0-st-v1,,Monocyte derived immature DCs,IL27,,activating,,1.0,IL27,,,,,,
IL3@Condition:iPSC-derived monocytes@GSE89795.MicroArray.GPL10558,IL3,,IL3,GSE89795,MicroArray,GPL10558,,iPSC-derived monocytes,IL3,,activating,,1.0,IL3,,,,,,
IL3@Condition:Primary AML MNCs&Duration:16h@GSE51402.MicroArray.HuGene-1_0-st-v1,IL3,3.3877126975149383,IL3,GSE51402,MicroArray,HuGene-1_0-st-v1,,Primary AML MNCs,IL3,,activating,16h,1.0,IL3,16.0,16.0,16.0,16.0,16.0,16.0
IL3@Condition:Primary AML MNCs&Duration:6h@GSE51402.MicroArray.HuGene-1_0-st-v1,IL3,4.219517676661134,IL3,GSE51402,MicroArray,HuGene-1_0-st-v1,,Primary AML MNCs,IL3,,activating,6h,1.0,IL3,6.0,6.0,6.0,6.0,6.0,6.0
IL3@Condition:whole blood cells&Duration:24h@GSE110041.RNASeq.SRP132018_GRCh38,IL3,2.023305034658675,IL3,GSE110041,RNASeq,SRP132018_GRCh38,,whole blood cells,IL3,,activating,24h,1.0,IL3,24.0,24.0,24.0,24.0,24.0,24.0
IL3@Condition:whole blood cells&Duration:6h@GSE110041.RNASeq.SRP132018_GRCh38,IL3,2.284294842316988,IL3,GSE110041,RNASeq,SRP132018_GRCh38,,whole blood cells,IL3,,activating,6h,1.0,IL3,6.0,6.0,6.0,6.0,6.0,6.0
"IL33@Condition:ILC2 (Lineage negative, CRTH2+, CD161+, CD127+)&Duration:24h@GSE45458.MicroArray.GPL13497",IL33,0.6416269452341572,IL33,GSE45458,MicroArray,GPL13497,,"ILC2 (Lineage negative, CRTH2+, CD161+, CD127+)",IL33,,activating,24h,1.0,IL33,24.0,24.0,24.0,24.0,24.0,24.0
"IL33@Condition:ILC2 (Lineage negative, CRTH2+, CD161+, CD127+)&Duration:6h@GSE45458.MicroArray.GPL13497",IL33,0.4940965050827491,IL33,GSE45458,MicroArray,GPL13497,,"ILC2 (Lineage negative, CRTH2+, CD161+, CD127+)",IL33,,activating,6h,1.0,IL33,6.0,6.0,6.0,6.0,6.0,6.0
IL33@Condition:Whole Blood&Duration:2h@GSE25742.MicroArray.GPL10558,IL33,-0.0971401308368036,IL33,GSE25742,MicroArray,GPL10558,,Whole Blood,IL33,,activating,2h,1.0,IL33,2.0,2.0,2.0,2.0,2.0,2.0
IL36G@Condition:keratinocytes@GSE96601.RNASeq.SRP101868_GRCh38,IL36G,1.1612186183434845,IL36G,GSE96601,RNASeq,SRP101868_GRCh38,,keratinocytes,IL36G,,activating,,1.0,IL36G,,,,,,
IL4@Condition:CD4+ T cells&Duration:0.5h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,-0.2387507063550732,IL4,GSE17974,MicroArray,HG-U133_Plus_2,,CD4+ T cells,IL4,,activating,0.5h,1.0,IL4,0.5,0.5,0.5,0.5,0.5,0.5
IL4@Condition:CD4+ T cells&Duration:12h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,-0.0428415302204028,IL4,GSE17974,MicroArray,HG-U133_Plus_2,,CD4+ T cells,IL4,,activating,12h,1.0,IL4,12.0,12.0,12.0,12.0,12.0,12.0
IL4@Condition:CD4+ T cells&Duration:1h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,1.0534723517842786,IL4,GSE17974,MicroArray,HG-U133_Plus_2,,CD4+ T cells,IL4,,activating,1h,1.0,IL4,1.0,1.0,1.0,1.0,1.0,1.0
IL4@Condition:CD4+ T cells&Duration:24h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,-0.1710154454489621,IL4,GSE17974,MicroArray,HG-U133_Plus_2,,CD4+ T cells,IL4,,activating,24h,1.0,IL4,24.0,24.0,24.0,24.0,24.0,24.0
IL4@Condition:CD4+ T cells&Duration:2h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,-0.350346317065786,IL4,GSE17974,MicroArray,HG-U133_Plus_2,,CD4+ T cells,IL4,,activating,2h,1.0,IL4,2.0,2.0,2.0,2.0,2.0,2.0
IL4@Condition:CD4+ T cells&Duration:48h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,-1.718131315423561,IL4,GSE17974,MicroArray,HG-U133_Plus_2,,CD4+ T cells,IL4,,activating,48h,1.0,IL4,48.0,48.0,48.0,48.0,48.0,48.0
IL4@Condition:CD4+ T cells&Duration:4h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,1.3862887523650915,IL4,GSE17974,MicroArray,HG-U133_Plus_2,,CD4+ T cells,IL4,,activating,4h,1.0,IL4,4.0,4.0,4.0,4.0,4.0,4.0
IL4@Condition:CD4+ T cells&Duration:6h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,-0.2780050051088624,IL4,GSE17974,MicroArray,HG-U133_Plus_2,,CD4+ T cells,IL4,,activating,6h,1.0,IL4,6.0,6.0,6.0,6.0,6.0,6.0
